Date,aspect medical systems,extensity,healthgate data,neoforma.com,t and r systems
2004-01-01,0.0,0.0,0.0,0.0,0.0
2004-02-01,27.0,81.0,0.0,0.0,0.0
2004-03-01,34.0,68.0,0.0,0.0,0.0
2004-04-01,26.0,70.0,0.0,0.0,0.0
2004-05-01,24.0,72.0,0.0,0.0,0.0
2004-06-01,24.0,73.0,0.0,0.0,0.0
2004-07-01,23.0,100.0,0.0,0.0,0.0
2004-08-01,23.0,45.0,0.0,0.0,0.0
2004-09-01,22.0,44.0,0.0,0.0,0.0
2004-10-01,22.0,44.0,0.0,0.0,0.0
2004-11-01,19.0,46.0,0.0,0.0,0.0
2004-12-01,19.0,20.0,0.0,0.0,0.0
2005-01-01,19.0,36.0,0.0,0.0,0.0
2005-02-01,19.0,36.0,0.0,0.0,0.0
2005-03-01,37.0,36.0,0.0,0.0,0.0
2005-04-01,55.0,36.0,0.0,0.0,0.0
2005-05-01,48.0,16.0,0.0,0.0,0.0
2005-06-01,16.0,25.0,0.0,0.0,0.0
2005-07-01,16.0,33.0,0.0,0.0,0.0
2005-08-01,16.0,16.0,0.0,0.0,0.0
2005-09-01,44.0,15.0,0.0,0.0,0.0
2005-10-01,14.0,13.0,0.0,0.0,0.0
2005-11-01,14.0,14.0,0.0,0.0,0.0
2005-12-01,26.0,19.0,0.0,0.0,0.0
2006-01-01,12.0,23.0,0.0,0.0,0.0
2006-02-01,19.0,36.0,0.0,0.0,0.0
2006-03-01,26.0,32.0,0.0,0.0,0.0
2006-04-01,33.0,33.0,0.0,0.0,0.0
2006-05-01,22.0,97.0,0.0,0.0,0.0
2006-06-01,10.0,33.0,0.0,0.0,0.0
2006-07-01,10.0,44.0,0.0,0.0,0.0
2006-08-01,10.0,50.0,0.0,0.0,0.0
2006-09-01,10.0,51.0,0.0,0.0,0.0
2006-10-01,9.0,36.0,0.0,0.0,0.0
2006-11-01,9.0,27.0,0.0,0.0,0.0
2006-12-01,9.0,27.0,0.0,0.0,0.0
2007-01-01,16.0,40.0,0.0,0.0,0.0
2007-02-01,8.0,42.0,0.0,0.0,0.0
2007-03-01,23.0,15.0,0.0,0.0,0.0
2007-04-01,23.0,23.0,0.0,0.0,0.0
