Date,digitas,improvenet,loudeye technologies,otg software,universal access
2004-01-01,36.0,7.0,0.0,0.0,43.0
2004-02-01,50.0,8.0,0.0,0.0,28.0
2004-03-01,18.0,9.0,0.0,0.0,27.0
2004-04-01,55.0,7.0,0.0,0.0,55.0
2004-05-01,12.0,6.0,0.0,0.0,43.0
2004-06-01,65.0,6.0,0.0,0.0,45.0
2004-07-01,40.0,6.0,0.0,0.0,46.0
2004-08-01,48.0,6.0,0.0,0.0,12.0
2004-09-01,45.0,6.0,0.0,0.0,23.0
2004-10-01,46.0,6.0,0.0,0.0,12.0
2004-11-01,24.0,5.0,0.0,0.0,30.0
2004-12-01,21.0,5.0,0.0,0.0,26.0
2005-01-01,75.0,5.0,0.0,0.0,24.0
2005-02-01,90.0,5.0,0.0,0.0,20.0
2005-03-01,59.0,4.0,0.0,0.0,47.0
2005-04-01,58.0,5.0,0.0,0.0,43.0
2005-05-01,76.0,8.0,0.0,0.0,34.0
2005-06-01,40.0,11.0,0.0,0.0,22.0
2005-07-01,100.0,13.0,0.0,0.0,52.0
2005-08-01,41.0,4.0,0.0,0.0,29.0
2005-09-01,58.0,4.0,0.0,0.0,35.0
2005-10-01,74.0,4.0,0.0,0.0,21.0
2005-11-01,40.0,4.0,0.0,0.0,22.0
2005-12-01,38.0,3.0,0.0,0.0,10.0
2006-01-01,68.0,3.0,0.0,0.0,18.0
2006-02-01,45.0,3.0,0.0,0.0,38.0
2006-03-01,64.0,3.0,0.0,0.0,8.0
2006-04-01,67.0,9.0,0.0,0.0,26.0
2006-05-01,68.0,6.0,0.0,0.0,40.0
2006-06-01,50.0,3.0,0.0,0.0,29.0
2006-07-01,44.0,3.0,0.0,0.0,29.0
2006-08-01,48.0,3.0,0.0,0.0,34.0
2006-09-01,45.0,3.0,0.0,0.0,11.0
2006-10-01,55.0,4.0,0.0,0.0,29.0
2006-11-01,43.0,6.0,0.0,0.0,27.0
2006-12-01,85.0,7.0,0.0,0.0,14.0
2007-01-01,70.0,2.0,0.0,0.0,17.0
2007-02-01,54.0,2.0,0.0,0.0,40.0
2007-03-01,45.0,2.0,0.0,0.0,22.0
2007-04-01,53.0,2.0,0.0,0.0,35.0
2007-05-01,53.0,2.0,0.0,0.0,13.0
2007-06-01,54.0,2.0,0.0,0.0,14.0
2007-07-01,79.0,4.0,0.0,0.0,30.0
2007-08-01,82.0,2.0,0.0,0.0,22.0
2007-09-01,77.0,2.0,0.0,0.0,27.0
2007-10-01,91.0,2.0,0.0,0.0,26.0
2007-11-01,76.0,2.0,0.0,0.0,21.0
2007-12-01,45.0,2.0,0.0,0.0,36.0
2008-01-01,72.0,4.0,0.0,0.0,21.0
2008-02-01,46.0,2.0,0.0,0.0,30.0
2008-03-01,59.0,2.0,0.0,0.0,18.0
2008-04-01,71.0,2.0,0.0,0.0,19.0
2008-05-01,59.0,2.0,0.0,0.0,35.0
2008-06-01,74.0,2.0,0.0,0.0,23.0
2008-07-01,70.0,3.0,0.0,0.0,24.0
2008-08-01,61.0,1.0,0.0,0.0,16.0
2008-09-01,72.0,1.0,0.0,0.0,22.0
2008-10-01,59.0,3.0,0.0,0.0,28.0
2008-11-01,66.0,1.0,0.0,0.0,11.0
2008-12-01,57.0,1.0,0.0,0.0,27.0
2009-01-01,63.0,1.0,0.0,0.0,25.0
2009-02-01,56.0,1.0,0.0,0.0,34.0
2009-03-01,73.0,1.0,0.0,0.0,21.0
2009-04-01,52.0,0.0,0.0,0.0,24.0
2009-05-01,53.0,0.0,0.0,0.0,35.0
2009-06-01,65.0,0.0,0.0,0.0,26.0
2009-07-01,64.0,0.0,0.0,0.0,27.0
2009-08-01,53.0,0.0,0.0,0.0,34.0
2009-09-01,47.0,0.0,0.0,0.0,30.0
2009-10-01,52.0,0.0,0.0,0.0,28.0
2009-11-01,67.0,0.0,0.0,0.0,36.0
2009-12-01,56.0,0.0,0.0,0.0,29.0
2010-01-01,58.0,0.0,0.0,0.0,32.0
2010-02-01,75.0,0.0,0.0,0.0,36.0
2010-03-01,68.0,1.0,0.0,0.0,22.0
2010-04-01,70.0,1.0,0.0,0.0,19.0
2010-05-01,39.0,1.0,0.0,0.0,25.0
2010-06-01,66.0,1.0,0.0,0.0,13.0
2010-07-01,52.0,1.0,0.0,0.0,24.0
2010-08-01,52.0,1.0,0.0,0.0,30.0
2010-09-01,57.0,1.0,0.0,0.0,26.0
2010-10-01,70.0,1.0,0.0,0.0,25.0
2010-11-01,57.0,1.0,0.0,0.0,22.0
2010-12-01,50.0,1.0,0.0,0.0,21.0
2011-01-01,88.0,1.0,0.0,0.0,16.0
2011-02-01,63.0,1.0,0.0,0.0,26.0
2011-03-01,87.0,1.0,0.0,0.0,23.0
2011-04-01,74.0,1.0,0.0,0.0,33.0
2011-05-01,52.0,1.0,0.0,0.0,22.0
2011-06-01,59.0,1.0,0.0,0.0,22.0
2011-07-01,65.0,1.0,0.0,0.0,20.0
2011-08-01,59.0,1.0,0.0,0.0,33.0
2011-09-01,64.0,1.0,0.0,0.0,31.0
2011-10-01,55.0,1.0,0.0,0.0,32.0
2011-11-01,59.0,1.0,0.0,0.0,26.0
2011-12-01,52.0,1.0,0.0,0.0,26.0
2012-01-01,63.0,1.0,0.0,0.0,26.0
2012-02-01,52.0,1.0,0.0,0.0,27.0
2012-03-01,62.0,1.0,0.0,0.0,23.0
2012-04-01,74.0,1.0,0.0,0.0,23.0
2012-05-01,50.0,1.0,0.0,0.0,21.0
2012-06-01,55.0,1.0,0.0,0.0,21.0
2012-07-01,65.0,1.0,0.0,0.0,23.0
2012-08-01,59.0,1.0,0.0,0.0,22.0
2012-09-01,48.0,1.0,0.0,0.0,27.0
2012-10-01,48.0,0.0,0.0,0.0,22.0
